filesize	SEQ_SAMPLE
1071301665	E64V_H_F1_a_1_T1_SC_5FC_12.5estra
1109637792	E64V_H_F1_a_1_T1_SC_5FC_50estra
958333169	E64V_H_F1_a_1_T1_SC_5FC
941186695	E64V_H_F1_a_1_T1_SC
764361695	E64V_H_F1_a_1_T2_SC_5FC_12.5estra
955967917	E64V_H_F1_a_1_T2_SC_5FC_50estra
755578811	E64V_H_F1_a_1_T2_SC_5FC
1150383580	E64V_H_F1_a_1_T2_SC
1062839710	E64V_H_F1_a_2_T1_SC_5FC_12.5estra
996715031	E64V_H_F1_a_2_T1_SC_5FC_50estra
1024086637	E64V_H_F1_a_2_T1_SC_5FC
995711636	E64V_H_F1_a_2_T1_SC
905897362	E64V_H_F1_a_2_T2_SC_5FC_12.5estra
920766236	E64V_H_F1_a_2_T2_SC_5FC_50estra
807133017	E64V_H_F1_a_2_T2_SC_5FC
1169358858	E64V_H_F1_a_2_T2_SC
845246819	E64V_H_F1_a_r1_T0_SC_5FC_12.5estra
845246819	E64V_H_F1_a_r1_T0_SC_5FC_50estra
845246819	E64V_H_F1_a_r1_T0_SC_5FC
845246819	E64V_H_F1_a_r1_T0_SC
887984907	E64V_H_F1_a_r2_T0_SC_5FC_12.5estra
887984907	E64V_H_F1_a_r2_T0_SC_5FC_50estra
887984907	E64V_H_F1_a_r2_T0_SC_5FC
887984907	E64V_H_F1_a_r2_T0_SC
1100060779	E64V_H_F2_a_1_T1_SC_5FC_12.5estra
1139777063	E64V_H_F2_a_1_T1_SC_5FC_50estra
1643078996	E64V_H_F2_a_1_T1_SC_5FC
1324904059	E64V_H_F2_a_1_T1_SC
1449913395	E64V_H_F2_a_1_T2_SC_5FC_12.5estra
1643029981	E64V_H_F2_a_1_T2_SC_5FC_50estra
1342273647	E64V_H_F2_a_1_T2_SC_5FC
1286244144	E64V_H_F2_a_1_T2_SC
1073528385	E64V_H_F2_a_2_T1_SC_5FC_12.5estra
1070504660	E64V_H_F2_a_2_T1_SC_5FC_50estra
1202393577	E64V_H_F2_a_2_T1_SC_5FC
1018676350	E64V_H_F2_a_2_T1_SC
543238712	E64V_H_F2_a_2_T2_SC_5FC_12.5estra
709624029	E64V_H_F2_a_2_T2_SC_5FC_50estra
406876196	E64V_H_F2_a_2_T2_SC_5FC
1135324969	E64V_H_F2_a_2_T2_SC
1081008066	E64V_H_F2_a_r1_T0_SC_5FC_12.5estra
1081008066	E64V_H_F2_a_r1_T0_SC_5FC_50estra
1081008066	E64V_H_F2_a_r1_T0_SC_5FC
1081008066	E64V_H_F2_a_r1_T0_SC
509905565	E64V_H_F2_a_r2_T0_SC_5FC_12.5estra
509905565	E64V_H_F2_a_r2_T0_SC_5FC_50estra
509905565	E64V_H_F2_a_r2_T0_SC_5FC
509905565	E64V_H_F2_a_r2_T0_SC
949656400	E64V_N_F1_alpha_1_T1_SC_5FC_12.5estra
1032347871	E64V_N_F1_alpha_1_T1_SC_5FC_50estra
1098132093	E64V_N_F1_alpha_1_T1_SC_5FC
812858637	E64V_N_F1_alpha_1_T1_SC
771349733	E64V_N_F1_alpha_1_T2_SC_5FC_12.5estra
936506360	E64V_N_F1_alpha_1_T2_SC_5FC_50estra
789593249	E64V_N_F1_alpha_1_T2_SC_5FC
1086315404	E64V_N_F1_alpha_1_T2_SC
912711102	E64V_N_F1_alpha_2_T1_SC_5FC_12.5estra
1029066513	E64V_N_F1_alpha_2_T1_SC_5FC_50estra
1085466503	E64V_N_F1_alpha_2_T1_SC_5FC
828337376	E64V_N_F1_alpha_2_T1_SC
820613149	E64V_N_F1_alpha_2_T2_SC_5FC_12.5estra
952146384	E64V_N_F1_alpha_2_T2_SC_5FC_50estra
757462312	E64V_N_F1_alpha_2_T2_SC_5FC
1015299626	E64V_N_F1_alpha_2_T2_SC
931111373	E64V_N_F1_alpha_r1_T0_SC_5FC_12.5estra
931111373	E64V_N_F1_alpha_r1_T0_SC_5FC_50estra
931111373	E64V_N_F1_alpha_r1_T0_SC_5FC
931111373	E64V_N_F1_alpha_r1_T0_SC
888996377	E64V_N_F1_alpha_r2_T0_SC_5FC_12.5estra
888996377	E64V_N_F1_alpha_r2_T0_SC_5FC_50estra
888996377	E64V_N_F1_alpha_r2_T0_SC_5FC
888996377	E64V_N_F1_alpha_r2_T0_SC
1048992664	E64V_N_F2_alpha_1_T1_SC_5FC_12.5estra
1114819199	E64V_N_F2_alpha_1_T1_SC_5FC_50estra
1673426957	E64V_N_F2_alpha_1_T1_SC_5FC
1493721789	E64V_N_F2_alpha_1_T1_SC
