filesize	SEQ_SAMPLE	read
369851391	Sample001	R1
472456401	Sample001	R2
275666742	Sample002	R1
309166368	Sample002	R2
310717094	Sample003	R1
419541681	Sample003	R2
335454685	Sample004	R1
392583292	Sample004	R2
392029634	Sample005	R1
425939488	Sample005	R2
373482598	Sample006	R1
448048609	Sample006	R2
333090061	Sample007	R1
404694186	Sample007	R2
317673816	Sample008	R1
353855338	Sample008	R2
350150991	Sample009	R1
456146144	Sample009	R2
240564123	Sample010	R1
259171656	Sample010	R2
315397968	Sample011	R1
438808569	Sample011	R2
324044667	Sample012	R1
375162872	Sample012	R2
359796099	Sample013	R1
385343689	Sample013	R2
360973070	Sample014	R1
441273502	Sample014	R2
310285028	Sample015	R1
354785116	Sample015	R2
331682599	Sample016	R1
396645792	Sample016	R2
342299865	Sample017	R1
467014633	Sample017	R2
260680620	Sample018	R1
309054053	Sample018	R2
302835389	Sample019	R1
445291419	Sample019	R2
312615092	Sample020	R1
384058213	Sample020	R2
329774854	Sample021	R1
382982591	Sample021	R2
340835518	Sample022	R1
437463935	Sample022	R2
312150675	Sample023	R1
402318965	Sample023	R2
338940409	Sample024	R1
424290794	Sample024	R2
358424603	Sample025	R1
516520411	Sample025	R2
284126534	Sample026	R1
336355773	Sample026	R2
311202201	Sample027	R1
477052179	Sample027	R2
324692734	Sample028	R1
417481152	Sample028	R2
373068097	Sample029	R1
441870264	Sample029	R2
386368912	Sample030	R1
512148328	Sample030	R2
357026468	Sample031	R1
431668283	Sample031	R2
357653473	Sample032	R1
468258261	Sample032	R2
417956645	Sample033	R1
543279214	Sample033	R2
324135214	Sample034	R1
369281162	Sample034	R2
363793469	Sample035	R1
511369392	Sample035	R2
388294985	Sample036	R1
463907862	Sample036	R2
468960902	Sample037	R1
515757282	Sample037	R2
454214232	Sample038	R1
549964962	Sample038	R2
390425458	Sample039	R1
481660757	Sample039	R2
402517030	Sample040	R1
471612819	Sample040	R2
430862697	Sample041	R1
563232297	Sample041	R2
322308299	Sample042	R1
354956747	Sample042	R2
375915884	Sample043	R1
529270747	Sample043	R2
403847906	Sample044	R1
472271947	Sample044	R2
398396857	Sample045	R1
436742203	Sample045	R2
427137509	Sample046	R1
523843441	Sample046	R2
393303750	Sample047	R1
474784302	Sample047	R2
383977068	Sample048	R1
464973178	Sample048	R2
399840425	Sample049	R1
451325154	Sample049	R2
419121002	Sample050	R1
523958056	Sample050	R2
389944332	Sample051	R1
397480043	Sample051	R2
280295852	Sample052	R1
272218229	Sample052	R2
385571698	Sample053	R1
436206568	Sample053	R2
375860944	Sample054	R1
438352736	Sample054	R2
406958620	Sample055	R1
401385713	Sample055	R2
376569787	Sample056	R1
378680642	Sample056	R2
448276715	Sample057	R1
521560223	Sample057	R2
451411974	Sample058	R1
588621912	Sample058	R2
328254971	Sample059	R1
344990622	Sample059	R2
337626014	Sample060	R1
328766399	Sample060	R2
437936828	Sample061	R1
524593026	Sample061	R2
435847240	Sample062	R1
546980044	Sample062	R2
420464461	Sample063	R1
452230131	Sample063	R2
409837113	Sample064	R1
425575762	Sample064	R2
414532629	Sample065	R1
492546781	Sample065	R2
384599204	Sample066	R1
526631357	Sample066	R2
384444801	Sample067	R1
403963275	Sample067	R2
310267222	Sample068	R1
313298442	Sample068	R2
409323685	Sample069	R1
508602456	Sample069	R2
415763698	Sample070	R1
543556373	Sample070	R2
427882361	Sample071	R1
459260057	Sample071	R2
405864674	Sample072	R1
428296824	Sample072	R2
401389591	Sample073	R1
414172646	Sample073	R2
440193922	Sample074	R1
505605026	Sample074	R2
433454008	Sample075	R1
414447131	Sample075	R2
144590400	Sample076	R1
138595716	Sample076	R2
459067643	Sample077	R1
484943815	Sample077	R2
415757706	Sample078	R1
451610973	Sample078	R2
436764103	Sample079	R1
419235970	Sample079	R2
410833721	Sample080	R1
378473528	Sample080	R2
430490391	Sample081	R1
511017599	Sample081	R2
459550434	Sample082	R1
619366348	Sample082	R2
427885221	Sample083	R1
463567341	Sample083	R2
339886941	Sample084	R1
349562585	Sample084	R2
429038821	Sample085	R1
526800938	Sample085	R2
412522152	Sample086	R1
537455060	Sample086	R2
435757736	Sample087	R1
464868401	Sample087	R2
421984680	Sample088	R1
446623772	Sample088	R2
483138715	Sample089	R1
556180280	Sample089	R2
450854574	Sample090	R1
543450218	Sample090	R2
454397996	Sample091	R1
495274960	Sample091	R2
383531691	Sample092	R1
383926735	Sample092	R2
476021577	Sample093	R1
563311072	Sample093	R2
479029649	Sample094	R1
601136962	Sample094	R2
497927692	Sample095	R1
542013402	Sample095	R2
431236614	Sample096	R1
447084292	Sample096	R2
415515533	Sample097	R1
454058202	Sample097	R2
568611441	Sample098	R1
685464547	Sample098	R2
497246421	Sample099	R1
583319423	Sample099	R2
214381256	Sample100	R1
221610504	Sample100	R2
558587657	Sample101	R1
626538940	Sample101	R2
478460500	Sample102	R1
512503594	Sample102	R2
549864728	Sample103	R1
599740655	Sample103	R2
225705928	Sample104	R1
237085999	Sample104	R2
317995840	Sample105	R1
315426776	Sample105	R2
452754776	Sample106	R1
470274981	Sample106	R2
358722472	Sample107	R1
362205089	Sample107	R2
191340931	Sample108	R1
191708882	Sample108	R2
416818053	Sample109	R1
404750365	Sample109	R2
361035361	Sample110	R1
360991283	Sample110	R2
544401267	Sample111	R1
542513352	Sample111	R2
184140974	Sample112	R1
176961366	Sample112	R2
439406818	Sample113	R1
434002080	Sample113	R2
596252282	Sample114	R1
633549662	Sample114	R2
506826406	Sample115	R1
551922458	Sample115	R2
237090359	Sample116	R1
234059625	Sample116	R2
570134677	Sample117	R1
604370203	Sample117	R2
422361413	Sample118	R1
437480734	Sample118	R2
585439615	Sample119	R1
589921018	Sample119	R2
222611604	Sample120	R1
219359132	Sample120	R2
349341234	Sample121	R1
341065375	Sample121	R2
498481532	Sample122	R1
542952318	Sample122	R2
435249155	Sample123	R1
453872661	Sample123	R2
153049523	Sample124	R1
143145262	Sample124	R2
509248060	Sample125	R1
514404089	Sample125	R2
401347814	Sample126	R1
408132679	Sample126	R2
551121834	Sample127	R1
562778185	Sample127	R2
208621233	Sample128	R1
199627812	Sample128	R2
429825282	Sample129	R1
443596170	Sample129	R2
585109192	Sample130	R1
690810663	Sample130	R2
537562644	Sample131	R1
609722381	Sample131	R2
255581555	Sample132	R1
256956170	Sample132	R2
628429460	Sample133	R1
690716278	Sample133	R2
446121580	Sample134	R1
478026416	Sample134	R2
626571460	Sample135	R1
654963743	Sample135	R2
281711230	Sample136	R1
300376060	Sample136	R2
445767191	Sample137	R1
438693821	Sample137	R2
602221446	Sample138	R1
676675842	Sample138	R2
510845697	Sample139	R1
552468521	Sample139	R2
240464010	Sample140	R1
226616188	Sample140	R2
625395502	Sample141	R1
657264327	Sample141	R2
462161959	Sample142	R1
466495410	Sample142	R2
623322960	Sample143	R1
615441481	Sample143	R2
273590149	Sample144	R1
271463550	Sample144	R2
