filesize	Sample_name	read
392879394	E64V_H_F1_a_1_T1_SC_5FC_12.5estra	R1
478001453	E64V_H_F1_a_1_T1_SC_5FC_12.5estra	R2
411152017	E64V_H_F1_a_1_T1_SC_5FC_50estra	R1
440047513	E64V_H_F1_a_1_T1_SC_5FC_50estra	R2
357285287	E64V_H_F1_a_1_T1_SC_5FC	R1
397535197	E64V_H_F1_a_1_T1_SC_5FC	R2
333454709	E64V_H_F1_a_1_T1_SC	R1
402421563	E64V_H_F1_a_1_T1_SC	R2
320614865	E64V_H_F1_a_1_T2_SC_5FC_12.5estra	R1
394290109	E64V_H_F1_a_1_T2_SC_5FC_12.5estra	R2
352559477	E64V_H_F1_a_1_T2_SC_5FC_50estra	R1
432941640	E64V_H_F1_a_1_T2_SC_5FC_50estra	R2
277785054	E64V_H_F1_a_1_T2_SC_5FC	R1
323024289	E64V_H_F1_a_1_T2_SC_5FC	R2
427617374	E64V_H_F1_a_1_T2_SC	R1
513600412	E64V_H_F1_a_1_T2_SC	R2
390823302	E64V_H_F1_a_2_T1_SC_5FC_12.5estra	R1
498763478	E64V_H_F1_a_2_T1_SC_5FC_12.5estra	R2
372005863	E64V_H_F1_a_2_T1_SC_5FC_50estra	R1
410386440	E64V_H_F1_a_2_T1_SC_5FC_50estra	R2
383463897	E64V_H_F1_a_2_T1_SC_5FC	R1
477973252	E64V_H_F1_a_2_T1_SC_5FC	R2
345335727	E64V_H_F1_a_2_T1_SC	R1
467996480	E64V_H_F1_a_2_T1_SC	R2
319503398	E64V_H_F1_a_2_T2_SC_5FC_12.5estra	R1
427084630	E64V_H_F1_a_2_T2_SC_5FC_12.5estra	R2
344094530	E64V_H_F1_a_2_T2_SC_5FC_50estra	R1
423560990	E64V_H_F1_a_2_T2_SC_5FC_50estra	R2
297136391	E64V_H_F1_a_2_T2_SC_5FC	R1
361384428	E64V_H_F1_a_2_T2_SC_5FC	R2
430370765	E64V_H_F1_a_2_T2_SC	R1
548870715	E64V_H_F1_a_2_T2_SC	R2
323460289	E64V_H_F1_a_r1_T0_SC_5FC_12.5estra	R1
351297502	E64V_H_F1_a_r1_T0_SC_5FC_12.5estra	R2
323460289	E64V_H_F1_a_r1_T0_SC_5FC_50estra	R1
351297502	E64V_H_F1_a_r1_T0_SC_5FC_50estra	R2
323460289	E64V_H_F1_a_r1_T0_SC_5FC	R1
351297502	E64V_H_F1_a_r1_T0_SC_5FC	R2
323460289	E64V_H_F1_a_r1_T0_SC	R1
351297502	E64V_H_F1_a_r1_T0_SC	R2
323991508	E64V_H_F1_a_r2_T0_SC_5FC_12.5estra	R1
403077890	E64V_H_F1_a_r2_T0_SC_5FC_12.5estra	R2
323991508	E64V_H_F1_a_r2_T0_SC_5FC_50estra	R1
403077890	E64V_H_F1_a_r2_T0_SC_5FC_50estra	R2
323991508	E64V_H_F1_a_r2_T0_SC_5FC	R1
403077890	E64V_H_F1_a_r2_T0_SC_5FC	R2
323991508	E64V_H_F1_a_r2_T0_SC	R1
403077890	E64V_H_F1_a_r2_T0_SC	R2
371112488	E64V_H_F2_a_1_T1_SC_5FC_12.5estra	R1
406314560	E64V_H_F2_a_1_T1_SC_5FC_12.5estra	R2
385469694	E64V_H_F2_a_1_T1_SC_5FC_50estra	R1
376832426	E64V_H_F2_a_1_T1_SC_5FC_50estra	R2
555104994	E64V_H_F2_a_1_T1_SC_5FC	R1
592849470	E64V_H_F2_a_1_T1_SC_5FC	R2
450799935	E64V_H_F2_a_1_T1_SC	R1
464008346	E64V_H_F2_a_1_T1_SC	R2
487498301	E64V_H_F2_a_1_T2_SC_5FC_12.5estra	R1
506045978	E64V_H_F2_a_1_T2_SC_5FC_12.5estra	R2
552949675	E64V_H_F2_a_1_T2_SC_5FC_50estra	R1
555024687	E64V_H_F2_a_1_T2_SC_5FC_50estra	R2
483768828	E64V_H_F2_a_1_T2_SC_5FC	R1
489760038	E64V_H_F2_a_1_T2_SC_5FC	R2
441152537	E64V_H_F2_a_1_T2_SC	R1
488739152	E64V_H_F2_a_1_T2_SC	R2
361526960	E64V_H_F2_a_2_T1_SC_5FC_12.5estra	R1
382303768	E64V_H_F2_a_2_T1_SC_5FC_12.5estra	R2
361898233	E64V_H_F2_a_2_T1_SC_5FC_50estra	R1
338381334	E64V_H_F2_a_2_T1_SC_5FC_50estra	R2
408733103	E64V_H_F2_a_2_T1_SC_5FC	R1
420250529	E64V_H_F2_a_2_T1_SC_5FC	R2
354929564	E64V_H_F2_a_2_T1_SC	R1
368052793	E64V_H_F2_a_2_T1_SC	R2
182994765	E64V_H_F2_a_2_T2_SC_5FC_12.5estra	R1
178346084	E64V_H_F2_a_2_T2_SC_5FC_12.5estra	R2
240931510	E64V_H_F2_a_2_T2_SC_5FC_50estra	R1
243482613	E64V_H_F2_a_2_T2_SC_5FC_50estra	R2
163061439	E64V_H_F2_a_2_T2_SC_5FC	R1
159694342	E64V_H_F2_a_2_T2_SC_5FC	R2
380748421	E64V_H_F2_a_2_T2_SC	R1
402348750	E64V_H_F2_a_2_T2_SC	R2
368537375	E64V_H_F2_a_r1_T0_SC_5FC_12.5estra	R1
365175658	E64V_H_F2_a_r1_T0_SC_5FC_12.5estra	R2
368537375	E64V_H_F2_a_r1_T0_SC_5FC_50estra	R1
365175658	E64V_H_F2_a_r1_T0_SC_5FC_50estra	R2
368537375	E64V_H_F2_a_r1_T0_SC_5FC	R1
365175658	E64V_H_F2_a_r1_T0_SC_5FC	R2
368537375	E64V_H_F2_a_r1_T0_SC	R1
365175658	E64V_H_F2_a_r1_T0_SC	R2
320295919	E64V_H_F2_a_r2_T0_SC_5FC_12.5estra	R1
327301188	E64V_H_F2_a_r2_T0_SC_5FC_12.5estra	R2
320295919	E64V_H_F2_a_r2_T0_SC_5FC_50estra	R1
327301188	E64V_H_F2_a_r2_T0_SC_5FC_50estra	R2
320295919	E64V_H_F2_a_r2_T0_SC_5FC	R1
327301188	E64V_H_F2_a_r2_T0_SC_5FC	R2
320295919	E64V_H_F2_a_r2_T0_SC	R1
327301188	E64V_H_F2_a_r2_T0_SC	R2
344960754	E64V_N_F1_alpha_1_T1_SC_5FC_12.5estra	R1
397338511	E64V_N_F1_alpha_1_T1_SC_5FC_12.5estra	R2
366393433	E64V_N_F1_alpha_1_T1_SC_5FC_50estra	R1
463924752	E64V_N_F1_alpha_1_T1_SC_5FC_50estra	R2
422001680	E64V_N_F1_alpha_1_T1_SC_5FC	R1
470729505	E64V_N_F1_alpha_1_T1_SC_5FC	R2
295518594	E64V_N_F1_alpha_1_T1_SC	R1
349478895	E64V_N_F1_alpha_1_T1_SC	R2
279580536	E64V_N_F1_alpha_1_T2_SC_5FC_12.5estra	R1
367738755	E64V_N_F1_alpha_1_T2_SC_5FC_12.5estra	R2
350343465	E64V_N_F1_alpha_1_T2_SC_5FC_50estra	R1
439724393	E64V_N_F1_alpha_1_T2_SC_5FC_50estra	R2
298507570	E64V_N_F1_alpha_1_T2_SC_5FC	R1
369126632	E64V_N_F1_alpha_1_T2_SC_5FC	R2
384038761	E64V_N_F1_alpha_1_T2_SC	R1
480512960	E64V_N_F1_alpha_1_T2_SC	R2
336669466	E64V_N_F1_alpha_2_T1_SC_5FC_12.5estra	R1
399978162	E64V_N_F1_alpha_2_T1_SC_5FC_12.5estra	R2
372639518	E64V_N_F1_alpha_2_T1_SC_5FC_50estra	R1
496171466	E64V_N_F1_alpha_2_T1_SC_5FC_50estra	R2
408277849	E64V_N_F1_alpha_2_T1_SC_5FC	R1
502646504	E64V_N_F1_alpha_2_T1_SC_5FC	R2
